肺泡蛋白质沉积症,约40%
寒痹,85-90%
颅骨骨瘤,80%
寒湿困脾,85%
颅狭症,70%
脑干损伤,10%
寒湿泄泻,85%
脑猪囊尾蚴病,30%
脑干肿瘤,30%
寒饮咳嗽,80%
脑膜癌病,10%
脑回状颅皮,40%
脑膜炎球菌性脑膜炎,93%
丘疹坏死性结核疹,80%
脑膜炎球菌血症,50%
外伤后颈内动脉闭塞,60%
脑膨出和脑脊膜膨出,60%
新生儿弥散性血管内凝血,60%
脑桥中央髓鞘溶解症,20--40%
寒滞肝脉证,80%
中间葡萄膜炎,90%
脑缺血性疾病,75%
汗证,75%
尿道结核,79.3%
膀胱脱垂,70%
红蝴蝶疮,80%
脑外伤后综合征,70%-80%
肾上腺髓质增生,65%
喉痹,40-50%(以控制症状为主)
喉疮,90%
肾周围炎,早发现者预后较好，延误治疗者病死率可达50%
脑型疟疾,60%
喉喑,95%
脑型血吸虫病,60%
烟酸缺乏,60%
尼曼-皮克病,40%
I型糖尿病,需要终身治疗，目前不能治愈
泥螺-日光性皮炎,50%
喉痈,85%
黏多糖贮积症,40%
狐惑,30%
黏多糖贮积症Ⅰ型,20%
花柳病,60%
黏多糖贮积症Ⅱ型,无法根治，多以对症治疗为主
花翳自陷,65%
黏多糖贮积症Ⅲ型,40%
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,95%
黏多糖贮积症Ⅳ型,30%-40%
A链球菌群感染,治愈率94%
化脓性角膜炎,80%
黏多糖贮积症Ⅴ型,20-30%，大多以控制症状为主
环跳疽,40-60%
肛周肿瘤,43%
黏多糖贮积症Ⅵ型,10%-20%
黄水疮,95%
股动脉瘤,80%
黏多糖贮积症Ⅶ型,75%
黄体功能不全性不孕,65%-75%
纳尔逊综合征,70%
蛲虫性阴道炎,80%
回乳,99%
黏多糖贮积症Ⅷ型,对症治疗为主，无法彻底根治
柞蚕蛹脑病,35%-50%
变性近视的脉络膜萎缩,50--60%
哕,90%
感染性急性小管间质性肾炎,75%
黏膜白斑,50-60%
混合痔,90%
混睛帐,80%
黏膜白色海绵状痣,65%
火眼,100%
黏膜相关样组织淋巴瘤,外科手术治愈率约为20-30%
肱骨髁间骨折,84%
积聚,80%
黏液纤维肉瘤,本病不能够得到治愈，一般维持生命支持治疗
骨神经鞘瘤,58%
黏液性小汗腺癌,40%
积滞,85%
肱骨远端全骨骺分离,70%
急喉风,90%
骨髓-胰腺综合征,85%
急黄,50%
踝部急性韧带损伤,90%
急淋,90%
腹腔妊娠,60%
棘间韧带损伤,外科手术治愈率约为70%
棘突骨折,90%
黏脂贮积症Ⅰ型,40%
棘突滑囊炎,35%
脊髓蛛网膜炎,80%
黏脂贮积症Ⅱ型,外科手术治愈率约为65%-70%
脊髓火器伤,40-60%
黏脂贮积症Ⅲ型,40%
棘突压痛,95%
桡骨干骨折,80%
黏脂贮积症Ⅳ型,30%
脊髓灰质炎后遗症,75%
念珠菌病,80%
热带痉挛性轻截瘫,25%
脊椎骨质增生,70%
念珠状发,50%
同种免疫性新生儿血小板减少性紫癜,30%
脊椎外伤,30%
念珠状红苔藓,65%，对症治疗为主
夹色伤寒,80-90%
鸟枪弹样视网膜脉络膜病变,60%，以控制症状治疗为主
胸椎椎管狭窄症,60%
夹阴伤寒,80%
尿道旁腺癌,20%
眼眶肌炎,80%
间质膀胱炎局限外阴炎和脱屑性阴道炎综合征,98%
尿道憩室,60%
跖骨头骨软骨病,85%
煎厥,60%
尿道缺如及先天性尿道闭锁,40%
椎管内脊膜瘤,80%
睑板腺囊肿,100%
尿道肉阜,80%
闭合性气胸,90%
第1跖趾骨关节炎,98%
鼻疽,70%
尿毒症性心包炎,10%
交肠,80%
贝壳甲综合征,60%
尿毒症性心肌病,40%
电击伤所致脊髓病,75%
椒疮,60%
尿黑酸尿与褐黄病,60%
喉部钝挫伤,治愈率89.4%
镍皮炎,70%
急性失血性贫血,70-80%，根据失血的严重程度具体决定
角膜葡萄肿,80%
牛痘,85%
节育手术并发症,30%
血影细胞性青光眼,90%
牛痘样水疱病,60%
口腔结核性溃疡,80%
电灼伤,95%
农民肺,60-70%
结胸证,99%
热性嗜中性白细胞皮肤病,75%
金疮,90%
农药中毒性肾病,40%
小儿砷中毒,60-90%
脓毒症和菌血症,78%
眼酸碱化学伤,50%
筋痹,70%
脓疱病,90%
女性的青春期延迟,80%
筋骨懈堕,40-50%
急性放射性甲状腺炎,80%
女性生殖道多部位原发癌,
筋瘤,90%
夏季皮炎,60--90%
女性性早熟,80%
筋痿,80%
长Q-T间期综合征,60%
Poncet综合征,85%
进行性脊肌萎缩症,75%
恶性黑素瘤,本病经过手术后治疗，5年生存率在50%左右。
PUVA雀斑样痣,60%
浸淫疮,85%
腹膜假黏液瘤,80%
膀胱不发育与发育不全,70--80%
噤口痢,30%
颈部纤维瘤,这个一般手术治疗后治愈率在98%左右
膀胱结核,多数病人治愈
经行发热,90%
膀胱平滑肌瘤,70%
经行流涎,60%
膀胱平滑肌肉瘤,1-10%
卡波西水痘样疹,75%
经行尿感,96%
膀胱葡萄状肉瘤,75%
淋巴丝虫病,65%(外科手术治疗)
经行舌麻,85%
膀胱憩室,50--70%
经行头痛,80%
膀胱上内疝,98%
弥漫性筋膜炎,90%
经行泄水,80%
Pancoast综合征,20%
膀胱嗜铬细胞瘤,55%
惊风,90%
外阴白化病,40%
膀胱输尿管反流,60%
阴茎结核,60%(外科手术治疗)
精瘀证,70%
膀胱与尿道结石,80%
α1-抗胰蛋白酶缺乏性脂膜炎,10%
精子增多症,50%
膀胱肿瘤,外科手术治愈率约为75%
触电,80%
痉病,50%
贲门黏膜撕裂综合征,80%
迪厄拉富瓦病,3%
久疟,40%
脯肽酶缺乏症,75%
单纯性外阴阴道念珠菌病,98%，小部分可反复发作无法根治
久泄,98%
盘尾丝虫病,80%
宫颈复发癌,本病一般经过手术后能够有效治愈达70%
疱疹样皮炎,85%
酒胀,60%
复发性髌骨脱位,84%
盆底腹膜疝,70%
聚星障,85%
宫颈腺癌,和肿瘤临床分期有关，I期病人生存率为50%
盆腔脓肿,80%(一般系统治疗后80%可以痊愈)
厥脱,80%
庚型病毒性肝炎,90%
皮肤B细胞淋巴样结节型增生,40%
厥阴头痛,98%
急性纵隔炎,60%
皮肤T细胞淋巴样增生,60%
厥证,40-60%
皮肤阿米巴病,30%
皲裂疮,85%
急性共同性斜视,70%
皮肤白细胞破碎性血管炎,40%
皮肤白血病,55%
考后综合症,治愈率94%
老年性紫癜,60-70%
皮肤卟啉病,50--70%
客忤,100%
盆腔炎性肿块,80%(外科治疗)
皮肤穿入性毛囊和毛囊周角化病,30--50%
口糜,100%婴幼儿容易治疗，免疫缺陷和恶性疾病患者愈后不良
盆腔结缔组织炎,70%
皮肤恶性黑色素瘤,40%
口腔粘膜病,98%
前置血管,70%(早期发现治立即剖宫产，治愈率70%。晚期发现者预后差，治愈率不足20%)
口腔粘膜黑棘皮病,40%
皮肤发育不良,89%
皮肤弓形体病,40%
妊娠瘙痒性荨麻疹性丘疹及斑块病,70%
口周湿疹,96%
皮肤骨瘤,治愈率60%
妊娠合并特发性血小板减少性紫癜,40%
苦夏,60%
皮肤骨髓纤维化,30%
胎死宫内,明确原因后，通常有激素的分泌异常，治愈率约70-80%
狂病,90%
皮肤利什曼病,60%
痨瘵,70%
皮肤淋巴肉芽肿病,65%
痛性肥胖病,20%
老年人原发性恶性高血压引起的恶性小动脉肾,40%
皮肤淋巴细胞浸润症,75%
雷头风,70%
皮肤淋巴细胞瘤,45%
外阴-阴道-牙龈综合征,60-70%
肋间神经痛,85%
先天性无转铁蛋白血症,40%
月经过多,60-70%
离位皮炎,65%
皮肤黏膜淋巴结综合征,95%
黧黑斑,30-50%
阴道横纹肌肉瘤,10年生存率为90%
皮肤黏液瘤,80%
臁疮,60%
多胎妊娠,98%
凉燥,99%
弓形体病,80%
皮肤软骨瘤,90%
皮下裂头蚴病,80%
皮肤瘙痒症,80%
淋证,80%
皮肤神经瘤,90%
流痰,70%
流注,70%
皮肤丝虫病,95%
六瘤,70%
皮肤松垂,55%
流感病毒肺炎,98%
癃闭,60%
皮肤炭疽,10%
偻附,80%
肠瘘,70%
皮肤纤毛囊肿,70%
颅脑先天畸形,10%
挛痹,75%
楚尔盖分枝杆菌感染,40%
皮肤纤维瘤,75%
急性肠系膜淋巴结炎,90%
瘰疬,80%
皮肤腺样囊性癌,60%
朗格汉斯组织细胞增多症,20%
皮肤行为症,80%
水蛭咬伤,98%
皮肤癣菌病,80%
维生素B1缺乏症,70%
皮肤蝇蛆病,40-50%
维生素A缺乏神经病,90%
皮肤幼虫移行症,40%
马牙,治愈率100%
小儿马方综合征,70%
皮肤猪囊尾蚴病,80%
蚂蚁叮咬,90--98%
皮肤子宫内膜异位症,60%
自发性腹膜后出血或血肿,80%
皮角,30-50%，以控制症状为主
瘢痕性脱发,病变范围小于25%的患者有很高的自愈率。病变范围越广，预后越差
脉痹,60%
皮克病,40%
表皮内嗜中性IgA皮肤病,45%
脉痿,85%
皮克病性痴呆,20%
包茎,手术治疗，治愈率100%
脉溢,80%
皮下T细胞淋巴瘤,外科手术治愈率约为40-50%
纯红细胞再生障碍,75%
慢惊风,80%
皮下脂肪肉芽肿,60%
蚕食性角膜溃疡,75%
慢脾风,60%
皮下脂膜炎性T细胞淋巴瘤,10%
低增生性急性白血病,10%
慢性肝炎,本病不易治愈，药物对症治疗
单纯疱疹性脑炎,60%
皮样表皮样囊肿,40-50%
汞及其化合物引起的皮肤病,70%-80%
皮脂缺乏症,80%
慢性咳嗽,80%
化脓性食管炎,60%
皮脂腺癌,10%
慢性疲劳综合症,75%
虹膜色素痣,55%
猫眼疮,70%
皮脂腺腺瘤,治愈率99.7%
急性腰背部扭伤,75%
瞀瘛,85%
睑皮松垂症,30%
梅核气,80%
畸胎瘤,98%
猛兽伤,60%
面游风,80%
皮脂腺增生,75%
明癣,75%-85%
脾动脉瘤,80%
淋球菌感染,60%
目病,85%
脾囊肿,70%
内热,80%
脾脓肿,40%--60%
流行性角膜结膜炎,90%
内伤发热,85%
脾脏转移性肿瘤,20%
阿米巴结肠炎,95%
奶麻,60-70%
片吸虫病,40%
匐行性脉络膜萎缩,50%
男科外伤,80--95%
沙眼衣原体肺炎,90%
囊痈,98%
胼胝,70%
脑胶质瘤,60%
视网膜毛细血管血管瘤,80%
视网膜后膜,50-70%
脑痨,40-50%
视网膜下纤维化和葡萄膜炎综合征,70%
胼胝体进行性变性,对症治疗为主，无法彻底根治
特发性青春期延迟,85%
品他病,90%
品行障碍,70%
隐性脊柱裂,65%
脑鸣,50-70%
平底足,一般在正规综合三甲医院的典型病例治愈率（治愈率20%）
眼眶骨肉瘤,30%
脑萎,40%
平滑肌肉瘤,30%
原发性输卵管癌,55%(外科手术治疗)
尿毒症昏迷,50%
蹼状阴茎,外科手术治愈率约为65%
眼部毛细血管瘤,外科手术治愈率约为80%
尿精,85%
先天性膀胱颈挛缩,75%(上述为外科手术治疗)
眼睑恶性黑色素细胞肿瘤,预后与多种因素有关。
颞骨和下颔骨关节异常,70%
寇热,60%
阿-斯综合征,80%
脓包疮,95%
真菌性尿路感染,70-80%
脓窠疮,85%
槭糖尿病,80%
耳廓软骨膜炎,40-60%
胬肉攀睛,80-95%
慢性反流性肾病,30%
漆所致皮肤病,60-80%
女劳疸,86%
猴痘,90%
其他病毒肺炎,40-50%
女子梦交,90%
喉上神经损伤,85%
其他弧菌感染,经过系统治疗后，99%能够治愈不再复发
Pasini-Pierni进行性皮肤萎缩,78%
急性髌骨脱位,90%
其他晶体性关节病,30%
膀胱咳,45%-65%
其他类精神活性物质依赖,55%
急性后部多灶性鳞状色素上皮病变,50-70%
甲状舌管囊肿,75%
其他沙门菌感染,治愈率99%
奇孔古尼亚病毒性疾病,75%
急性坏死出血性脑脊髓炎,多数病例在2～4天内死亡，少数的可存活长些。
脐部脐肠系膜管息肉,80%
链球菌中毒性休克综合征,80%
脐尿管囊肿,外科手术治愈率约为75%-80%
膀胱气痛,75%
弥漫性胸膜间皮瘤,局限期和弥漫期效果不一
脐疝,99%
盆腔炎症性不孕症,75%
脐炎,85%治愈
皮痹,80%
慢性腰背痛,90%
起搏器综合征,85%-95%
皮肤病,10%
浅表性皮肤脂肪瘤痣,95%
气单胞菌肺炎,90%
脾疳,85%-95%
气管及支气管发育障碍,患儿在术后仍不能长期存活，但也有手术成功的报告。
卫氏并殖吸虫病,45%-65%
气管梗阻,75%
脾劳,90%
先天性后尿道瘘,85%
气管前间隙感染,80%
脾水,85%
先天性长结肠,83%
气管食管瘘,90%
烟酸缺乏神经病,60%
脾虚泄泻,80%
气性膀胱炎,60--70%
脾约,99%
咽后间隙感染,暂无
髂骨取骨后盆侧腹壁疝,60--80%
痞满,90%
咽食管憩室,80%
痞气,40-60%
变应性皮肤结节性血管炎,85%
睥翻粘睑,75%
单发脑梗死性痴呆,痴呆的预后因病变部位、范围不同不一致，总认知功能衰退的过程呈不可逆的进程。
髂骨致密性骨炎,80%
匐行穿孔性弹性组织变性,60-70%
千足虫灼伤,60-70%
环咽肌失弛缓症,55%
前臂动脉损伤,60%
褐黄病,55%
前骨间神经卡压综合征,40%
黑舌,40%
偏沮,80%
甲氨蝶呤相关的淋巴增殖性疾病,75%
前列腺囊肿,95%
干呕,90%
功能失调性子宫出血病,80%
口角炎,98%
漆疮,30%
口腔毛滴虫病,90%
气腹痛,95%
口腔菜花状乳头瘤病,20%
前列腺脓肿,治愈率84%
气臌,84%
口腔灶性上皮增生,60%
前列腺肉瘤,80%
气痢,70%
颏下皮样囊肿,70%
前十字韧带损伤,80%
气瘤,80%
前庭大腺癌,50%
眶周色素沉着,激光治愈率约为80%
前庭大腺囊肿,95%
气秘,90%
膜性肾病,55%-65%
前纵韧带骨化症,70%
气疝,99%
牙源性皮瘘,85%
气虚眩晕,95%
下颈椎不稳症,40%
气瘿,90%
颜面复发性皮炎,70%
钱币状湿疹,60%
气胀,80%
淤积性皮炎,60%
钱币状掌跖角化病,85%
憩室病,60%
埃利希体病,15%-35%，多以控制症状为主
浅部急性淋巴结炎和淋巴管炎,85%
千日疮,60%，但是本病容易复发
包涵体肌炎与遗传性包涵体肌病,70%
嵌顿性腹股沟斜疝,60%
嵌顿包茎,80%(外科手术治疗)
布氏杆菌红斑,60%
腔隙性脑梗死,需要终身治疗，目前不能治愈
情感性交叉擦腿症,30%
强直性脊柱炎性巩膜炎,20%
秋燥,98%以上
侵袭性婴儿纤维瘤病,85%(外科手术治疗)
胞内分枝杆菌感染,95%
癔病性昏厥,85%
热痹,30%
传染性淋巴细胞增多症,98%
热毒冲心,90%
青春期发育迟缓,80%
单纯性雀斑样痣,30%
青春期功能失调性子宫出血,85%
热汗,80%
带状疱疹病毒性巩膜炎,85%
青春期功能失调性子宫出血病,78%
热咳,95%以上
等孢球虫病,80%
热秘,90%
热入血室,80%
单纯疱疹病毒性巩膜炎,70%
青年人中的成年发病型糖尿病,40%
非01霍乱弧菌肠炎,30%
热伤风,95%
青年上肢远端肌萎缩,对症治疗为主，根治率约为35%
热射病,70%
钩端螺旋体病的肾损害,94.31%
青年心肌梗死,70%
热哮,95%
回归热型结节性非化脓性脂膜炎,70%
青年性驼背,70%
热中,85%
黄韧带骨化症,60%
青少年及小儿卵巢肿瘤,75%
妊娠恶阻,80%
间插血吸虫病,70%
青少年及小儿阴道肉瘤,80%
妊娠热病,90%
阿尔茨海默病性痴呆,需要终身治疗，目前不能治愈
青少年及小儿阴道透明细胞癌,外科手术治愈率约为75%
肉痹,40%
类鼻疽杆菌肺炎,80%
青少年及小儿子宫颈癌,60%
肉痉,75%
丘疹性荨麻疹,95%
肉瘿,80%
囊性肾病,60%
乳发,80%
性功能异常伴发的精神障碍,50-70%
乳痨,80%
丘疹性血管增生,60%
职业性痤疮,75%
乳疬,80%
丘疹紫癜性手套和短袜样综合征,30%
软纤维瘤,100％
乳泣,80%
曲霉病,75%
散发性甲状腺肿,60%
乳痈,90%
曲霉球,65%
水痘-带状疱疹性葡萄膜炎,79%
蓐劳,80%
躯体感染伴发的精神障碍,30%
鼠疫耶尔森菌肺炎,60-70%
三痹,85%
全身性发疹性组织细胞增生症,70%
全身脂肪代谢障碍,小于20%
三焦咳,80%
缺血性多形性室性心动过速,60%
投掷骨折,80%
色厥色脱,70%
Reis-Bucklers角膜营养不良,80%
退变性骶髂关节炎,对症治疗为主，治愈率约为30%
色素斑,75%
Rh血型不合溶血病,70%
结核性心包炎,60-70%
色欲伤,80%
诺卡菌病,65%
花粉过敏性哮喘,30%
痧气,95%
染色体异常,3%
旋前圆肌综合征,40%
痧子,80%
染色体异常伴发的精神障碍,65%
伤风,98%
桡骨茎突骨折,外科手术治愈率约为85%
伤食泄泻,93%
光化性角化病,20-30%，多以控制症状为主
桡骨头骨折,98%
新生儿ABO溶血病,30%
桡管综合征,80%
少腹如扇,85%
桡神经感觉支卡压,外科手术治愈率约为65%-75%
分离性垂直偏斜,75%
神昏,85%
芽生菌病样脓皮病,90%
热带性出汗不良,40%
神思间病,20%
热带性口炎性腹泻,90%
肾疳,65%-75%
人格解体-现实解体综合征,40%
多形性脂肪瘤,96%
肾精亏虚,70%
人类T淋巴细胞病毒感染,70%
羊膜带综合征,80%
肾咳,80%
人类免疫缺陷病毒所致葡萄膜炎,30%
斑疹伤寒立克次体肺炎,80%
肾气不固,80%
人免疫缺陷病毒感染性肾损害,需要终身治疗，目前不能治愈
隐翅虫皮炎,70%
肾虚耳鸣,80%
人疱疹病毒-6型感染,65%
白发,
肾虚眩晕,70%
人为性皮炎,50%-60%
张力性气胸,97%
肾虚腰痛,80%
自主性高功能性甲状腺腺瘤,75-85%
肾痈,60%
制药业引起的皮肤病,60%
升主动脉瘤,30%
蜂窝肺综合征,85%
人为脂膜炎,80%
尸厥,10%(本病一般发现抢救的可能性极低，仅仅10%治愈可能性)
妊娠高血压综合征,85%
急性女阴溃疡,80%
失荣,80%
接合菌病,85%
妊娠高血压综合征眼底病变,80%
湿痹,70%
毛囊周角化病,68%
妊娠合并白血病,一般本病治愈可能性较差，5年存活率在30%
湿毒疮,85%
麻疹病毒肺炎,90%
妊娠合并癫痫,60%
湿热病,60%
女性膀胱颈梗阻,70%
妊娠合并动脉导管未闭,外科手术治愈率约为85%
湿热痢,30%
妊娠合并多囊肾,外科手术治愈率约为60%
扭转痉挛,85%
佩吉特病样网状细胞增生症,20%
湿热蕴脾,80%
湿阻,80%
妊娠合并肺炎,90%
全身黏液性水肿,75%
石油、煤焦油及其分馏产物所致的皮肤病,60%
妊娠合并风湿性心脏病,70%
脂质沉积性肌病,40%
实喘,60%
妊娠合并肝硬化,1.3%
湿疹样癌,属于恶性肿瘤，手术治疗后5年生存率在80%左右
食管痹,80%
妊娠合并红细胞增多症,80%
色素性青光眼,60%
妊娠合并急性膀胱炎,80%
食积胃病,60-80%
霜样树枝状视网膜血管炎,50%
食瘕,60%
叶酸缺乏神经病,70%
妊娠合并急性胆囊炎,80%
食滞胃脘主证,98%
药物性食管炎,60%-80%
视网膜脱落,95%
妊娠合并急性阑尾炎,90%
梅毒肾病,60%
视瞻昏渺,对症治疗为主，治愈率约为45%
妊娠合并急性肾小球肾炎,一般经过系统治疗后能够95%进行治愈
癫痫持续状态,控制性治疗为主，治愈率约为45%
妊娠合并急性肾盂肾炎,90%
兽咬伤,80%
苯丙酮尿症,80%
妊娠合并急性胰腺炎,89%
输卵管积水,85%
高原性心脏病,60%
妊娠合并甲状旁腺功能亢进,98%
输卵管结扎术后并发症,50%-70%
急性卵巢、输卵管自身扭转,60%
输卵管阻塞性不孕,30-50%
妊娠合并甲状腺功能减退,90%
暑湿,99%
妊娠合并甲状腺功能亢进,70%
麦格综合征,如果经过合适治疗，可100%治愈
暑瘵,85%
妊娠合并巨幼红细胞性贫血,80%
鼠咬伤,80%
妊娠合并类风湿关节炎,需要终身治疗，目前不能治愈
水臌,65%
慢性膀胱炎,79%
孟氏骨折,60%
水疥,65%
妊娠合并淋巴瘤,75%
水疝,80%(外科手术治疗)
膜迷路积水,20-40%
妊娠合并卵巢肿瘤,80%
水肿,60%
Nezelot综合征,55%
妊娠合并慢性肾上腺皮质功能减退,60-70%
水渍疮,80%
慢性劳损性颈背部筋膜纤维织炎,95%
妊娠合并慢性肾小球肾炎,60%
妊娠合并尿石症,90%
小儿急性淋巴细胞性白血病,经过化疗后，5年生存率在85%
四肢不用,40%（多以对症治疗为主）
妊娠合并皮质醇增多症,10%
宿醉,90%
妊娠合并偏头痛,95%，分娩后头疼即可缓解
粟疮,60--80%
锁喉毒,85%
妊娠合并缺铁性贫血,一般经过补铁治疗后95%都能治愈。
锁喉痈,70%
妊娠合并肾病综合征,30%
胎赤,98%
妊娠合并系统性红斑狼疮,70%
胎毒,98%
妊娠合并消化性溃疡,经过治98%治愈
胎肥,85%
胎漏,60%
妊娠合并哮喘,60%
小儿精神发育迟缓,35%
胎盘部分残留,85%
